---------------------------------
| rollout/           |          |
|    ep_len_mean     | 10.7     |
|    ep_rew_mean     | -22.5    |
| time/              |          |
|    fps             | 26       |
|    iterations      | 1        |
|    time_elapsed    | 29       |
|    total_timesteps | 768      |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 9.78        |
|    ep_rew_mean          | -17.2       |
| time/                   |             |
|    fps                  | 25          |
|    iterations           | 2           |
|    time_elapsed         | 59          |
|    total_timesteps      | 1536        |
| train/                  |             |
|    approx_kl            | 0.049777627 |
|    clip_fraction        | 0.556       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.07       |
|    explained_variance   | 0.000471    |
|    learning_rate        | 0.0005      |
|    loss                 | 5.89        |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0752     |
|    value_loss           | 21.1        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.57        |
|    ep_rew_mean          | -9.8        |
| time/                   |             |
|    fps                  | 25          |
|    iterations           | 3           |
|    time_elapsed         | 89          |
|    total_timesteps      | 2304        |
| train/                  |             |
|    approx_kl            | 0.029188382 |
|    clip_fraction        | 0.494       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.01       |
|    explained_variance   | -0.0173     |
|    learning_rate        | 0.0005      |
|    loss                 | 7.55        |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.0642     |
|    value_loss           | 23.7        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7.01        |
|    ep_rew_mean          | -3.24       |
| time/                   |             |
|    fps                  | 26          |
|    iterations           | 4           |
|    time_elapsed         | 116         |
|    total_timesteps      | 3072        |
| train/                  |             |
|    approx_kl            | 0.069123514 |
|    clip_fraction        | 0.499       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.848      |
|    explained_variance   | -0.0194     |
|    learning_rate        | 0.0005      |
|    loss                 | 7.45        |
|    n_updates            | 90          |
|    policy_gradient_loss | -0.0698     |
|    value_loss           | 19.9        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 6.64       |
|    ep_rew_mean          | 0.177      |
| time/                   |            |
|    fps                  | 27         |
|    iterations           | 5          |
|    time_elapsed         | 141        |
|    total_timesteps      | 3840       |
| train/                  |            |
|    approx_kl            | 0.06668525 |
|    clip_fraction        | 0.317      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.717     |
|    explained_variance   | -0.0796    |
|    learning_rate        | 0.0005     |
|    loss                 | 5.74       |
|    n_updates            | 120        |
|    policy_gradient_loss | -0.0408    |
|    value_loss           | 11.4       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.46        |
|    ep_rew_mean          | 0.598       |
| time/                   |             |
|    fps                  | 27          |
|    iterations           | 6           |
|    time_elapsed         | 168         |
|    total_timesteps      | 4608        |
| train/                  |             |
|    approx_kl            | 0.018191362 |
|    clip_fraction        | 0.19        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.637      |
