---------------------------------
| rollout/           |          |
|    ep_len_mean     | 20.5     |
|    ep_rew_mean     | 16.8     |
| time/              |          |
|    fps             | 13       |
|    iterations      | 1        |
|    time_elapsed    | 57       |
|    total_timesteps | 768      |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 20.3        |
|    ep_rew_mean          | 16.9        |
| time/                   |             |
|    fps                  | 15          |
|    iterations           | 2           |
|    time_elapsed         | 98          |
|    total_timesteps      | 1536        |
| train/                  |             |
|    approx_kl            | 0.018642921 |
|    clip_fraction        | 0.243       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.08       |
|    explained_variance   | 0.000453    |
|    learning_rate        | 0.0005      |
|    loss                 | 0.0659      |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.021      |
|    value_loss           | 0.466       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 20.1       |
|    ep_rew_mean          | 16.5       |
| time/                   |            |
|    fps                  | 16         |
|    iterations           | 3          |
|    time_elapsed         | 141        |
|    total_timesteps      | 2304       |
| train/                  |            |
|    approx_kl            | 0.01652978 |
|    clip_fraction        | 0.244      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.07      |
|    explained_variance   | 0.431      |
|    learning_rate        | 0.0005     |
|    loss                 | 0.0767     |
|    n_updates            | 60         |
|    policy_gradient_loss | -0.0206    |
|    value_loss           | 0.343      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 19.8        |
|    ep_rew_mean          | 16.2        |
| time/                   |             |
|    fps                  | 17          |
|    iterations           | 4           |
|    time_elapsed         | 179         |
|    total_timesteps      | 3072        |
| train/                  |             |
|    approx_kl            | 0.018098699 |
|    clip_fraction        | 0.242       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.04       |
|    explained_variance   | 0.429       |
|    learning_rate        | 0.0005      |
|    loss                 | 0.0195      |
|    n_updates            | 90          |
|    policy_gradient_loss | -0.0288     |
|    value_loss           | 0.381       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 19.9        |
|    ep_rew_mean          | 16.1        |
| time/                   |             |
|    fps                  | 18          |
|    iterations           | 5           |
|    time_elapsed         | 202         |
|    total_timesteps      | 3840        |
| train/                  |             |
|    approx_kl            | 0.021341108 |
|    clip_fraction        | 0.299       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.03       |
|    explained_variance   | 0.417       |
|    learning_rate        | 0.0005      |
|    loss                 | 0.0839      |
|    n_updates            | 120         |
|    policy_gradient_loss | -0.0429     |
|    value_loss           | 0.369       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 20.4        |
|    ep_rew_mean          | 16.5        |
| time/                   |             |
|    fps                  | 20          |
|    iterations           | 6           |
|    time_elapsed         | 224         |
|    total_timesteps      | 4608        |
| train/                  |             |
|    approx_kl            | 0.026392544 |
|    clip_fraction        | 0.349       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.03       |
|    explained_variance   | 0.431       |
|    learning_rate        | 0.0005      |
|    loss                 | -0.016      |
|    n_updates            | 150         |
|    policy_gradient_loss | -0.0521     |
|    value_loss           | 0.331       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 20.1        |
|    ep_rew_mean          | 16.1        |
| time/                   |             |
|    fps                  | 21          |
|    iterations           | 7           |
|    time_elapsed         | 245         |
|    total_timesteps      | 5376        |
| train/                  |             |
|    approx_kl            | 0.034461346 |
|    clip_fraction        | 0.372       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.02       |
|    explained_variance   | 0.495       |
|    learning_rate        | 0.0005      |
|    loss                 | -0.015      |
|    n_updates            | 180         |
|    policy_gradient_loss | -0.0585     |
|    value_loss           | 0.234       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 20          |
|    ep_rew_mean          | 16.3        |
| time/                   |             |
|    fps                  | 23          |
|    iterations           | 8           |
|    time_elapsed         | 265         |
|    total_timesteps      | 6144        |
| train/                  |             |
|    approx_kl            | 0.028337123 |
|    clip_fraction        | 0.341       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.994      |
|    explained_variance   | 0.498       |
|    learning_rate        | 0.0005      |
|    loss                 | -0.0268     |
|    n_updates            | 210         |
|    policy_gradient_loss | -0.0571     |
|    value_loss           | 0.299       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 19.6       |
|    ep_rew_mean          | 16.1       |
| time/                   |            |
|    fps                  | 24         |
|    iterations           | 9          |
|    time_elapsed         | 287        |
|    total_timesteps      | 6912       |
| train/                  |            |
|    approx_kl            | 0.03799483 |
|    clip_fraction        | 0.394      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.975     |
|    explained_variance   | 0.508      |
|    learning_rate        | 0.0005     |
|    loss                 | -0.0434    |
|    n_updates            | 240        |
|    policy_gradient_loss | -0.0632    |
|    value_loss           | 0.251      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 20.2        |
|    ep_rew_mean          | 16.7        |
| time/                   |             |
|    fps                  | 24          |
|    iterations           | 10          |
|    time_elapsed         | 308         |
|    total_timesteps      | 7680        |
| train/                  |             |
|    approx_kl            | 0.031139476 |
|    clip_fraction        | 0.41        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.991      |
|    explained_variance   | 0.453       |
|    learning_rate        | 0.0005      |
|    loss                 | -0.055      |
|    n_updates            | 270         |
|    policy_gradient_loss | -0.0704     |
|    value_loss           | 0.241       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 19.4        |
|    ep_rew_mean          | 16.3        |
| time/                   |             |
|    fps                  | 25          |
|    iterations           | 11          |
|    time_elapsed         | 329         |
|    total_timesteps      | 8448        |
| train/                  |             |
|    approx_kl            | 0.043710593 |
|    clip_fraction        | 0.414       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.972      |
|    explained_variance   | 0.451       |
|    learning_rate        | 0.0005      |
|    loss                 | -0.0688     |
|    n_updates            | 300         |
