---------------------------------
| rollout/           |          |
|    ep_len_mean     | 9.99     |
|    ep_rew_mean     | 11.9     |
| time/              |          |
|    fps             | 17       |
|    iterations      | 1        |
|    time_elapsed    | 43       |
|    total_timesteps | 768      |
---------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 10.8       |
|    ep_rew_mean          | 16.7       |
| time/                   |            |
|    fps                  | 17         |
|    iterations           | 2          |
|    time_elapsed         | 87         |
|    total_timesteps      | 1536       |
| train/                  |            |
|    approx_kl            | 0.02552876 |
|    clip_fraction        | 0.494      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.08      |
|    explained_variance   | 0.000376   |
|    learning_rate        | 0.0005     |
|    loss                 | 37.8       |
|    n_updates            | 30         |
|    policy_gradient_loss | -0.071     |
|    value_loss           | 80.4       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 11.6        |
|    ep_rew_mean          | 20          |
| time/                   |             |
|    fps                  | 18          |
|    iterations           | 3           |
|    time_elapsed         | 123         |
|    total_timesteps      | 2304        |
| train/                  |             |
|    approx_kl            | 0.019123176 |
|    clip_fraction        | 0.54        |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.01       |
|    explained_variance   | 0.0303      |
|    learning_rate        | 0.0005      |
|    loss                 | 39          |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.0711     |
|    value_loss           | 68.2        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 12.4        |
|    ep_rew_mean          | 24.1        |
| time/                   |             |
|    fps                  | 19          |
|    iterations           | 4           |
|    time_elapsed         | 154         |
|    total_timesteps      | 3072        |
| train/                  |             |
|    approx_kl            | 0.017182687 |
|    clip_fraction        | 0.437       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.929      |
|    explained_variance   | 0.209       |
|    learning_rate        | 0.0005      |
|    loss                 | 25.9        |
|    n_updates            | 90          |
|    policy_gradient_loss | -0.0622     |
|    value_loss           | 61.2        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 12.6        |
|    ep_rew_mean          | 27          |
| time/                   |             |
|    fps                  | 20          |
|    iterations           | 5           |
|    time_elapsed         | 182         |
|    total_timesteps      | 3840        |
| train/                  |             |
|    approx_kl            | 0.027915152 |
|    clip_fraction        | 0.473       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.768      |
|    explained_variance   | 0.327       |
|    learning_rate        | 0.0005      |
|    loss                 | 21.4        |
|    n_updates            | 120         |
|    policy_gradient_loss | -0.052      |
|    value_loss           | 48.7        |
-----------------------------------------
-----------------------------------------
