---------------------------------
| rollout/           |          |
|    ep_len_mean     | 40.8     |
|    ep_rew_mean     | 36.2     |
| time/              |          |
|    fps             | 37       |
|    iterations      | 1        |
|    time_elapsed    | 20       |
|    total_timesteps | 768      |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 38.9        |
|    ep_rew_mean          | 35          |
| time/                   |             |
|    fps                  | 43          |
|    iterations           | 2           |
|    time_elapsed         | 35          |
|    total_timesteps      | 1536        |
| train/                  |             |
|    approx_kl            | 0.023792403 |
|    clip_fraction        | 0.325       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.08       |
|    explained_variance   | 0.0456      |
|    learning_rate        | 0.0005      |
|    loss                 | 0.146       |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0319     |
|    value_loss           | 0.351       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 38.6        |
|    ep_rew_mean          | 34.9        |
| time/                   |             |
|    fps                  | 39          |
|    iterations           | 3           |
|    time_elapsed         | 58          |
|    total_timesteps      | 2304        |
| train/                  |             |
|    approx_kl            | 0.024004444 |
|    clip_fraction        | 0.303       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.06       |
|    explained_variance   | 0.248       |
|    learning_rate        | 0.0005      |
|    loss                 | 0.158       |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.0329     |
|    value_loss           | 0.314       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 41.1        |
|    ep_rew_mean          | 36.9        |
| time/                   |             |
|    fps                  | 40          |
|    iterations           | 4           |
|    time_elapsed         | 75          |
|    total_timesteps      | 3072        |
| train/                  |             |
|    approx_kl            | 0.018853555 |
|    clip_fraction        | 0.319       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.03       |
|    explained_variance   | 0.182       |
|    learning_rate        | 0.0005      |
|    loss                 | 0.0195      |
|    n_updates            | 90          |
|    policy_gradient_loss | -0.026      |
|    value_loss           | 0.274       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 43.1        |
|    ep_rew_mean          | 38.4        |
| time/                   |             |
|    fps                  | 40          |
|    iterations           | 5           |
|    time_elapsed         | 95          |
|    total_timesteps      | 3840        |
| train/                  |             |
|    approx_kl            | 0.021419892 |
|    clip_fraction        | 0.316       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.999      |
|    explained_variance   | 0.25        |
|    learning_rate        | 0.0005      |
|    loss                 | 0.0084      |
|    n_updates            | 120         |
|    policy_gradient_loss | -0.0326     |
|    value_loss           | 0.186       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 42.8        |
|    ep_rew_mean          | 38.1        |
| time/                   |             |
|    fps                  | 40          |
|    iterations           | 6           |
|    time_elapsed         | 113         |
|    total_timesteps      | 4608        |
| train/                  |             |
|    approx_kl            | 0.024663484 |
|    clip_fraction        | 0.323       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.986      |
|    explained_variance   | 0.453       |
|    learning_rate        | 0.0005      |
|    loss                 | -0.0721     |
|    n_updates            | 150         |
|    policy_gradient_loss | -0.0422     |
|    value_loss           | 0.131       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 42          |
|    ep_rew_mean          | 37.5        |
| time/                   |             |
|    fps                  | 40          |
|    iterations           | 7           |
|    time_elapsed         | 132         |
|    total_timesteps      | 5376        |
| train/                  |             |
|    approx_kl            | 0.022840494 |
|    clip_fraction        | 0.322       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.989      |
|    explained_variance   | 0.287       |
|    learning_rate        | 0.0005      |
|    loss                 | 0.0387      |
|    n_updates            | 180         |
|    policy_gradient_loss | -0.0467     |
|    value_loss           | 0.199       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 42          |
|    ep_rew_mean          | 37.8        |
| time/                   |             |
|    fps                  | 41          |
|    iterations           | 8           |
|    time_elapsed         | 147         |
|    total_timesteps      | 6144        |
| train/                  |             |
|    approx_kl            | 0.035017435 |
|    clip_fraction        | 0.369       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.941      |
|    explained_variance   | 0.0159      |
|    learning_rate        | 0.0005      |
|    loss                 | 0.00947     |
|    n_updates            | 210         |
|    policy_gradient_loss | -0.0499     |
|    value_loss           | 0.21        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 39.8       |
|    ep_rew_mean          | 36.2       |
| time/                   |            |
|    fps                  | 42         |
|    iterations           | 9          |
|    time_elapsed         | 161        |
|    total_timesteps      | 6912       |
| train/                  |            |
|    approx_kl            | 0.02785804 |
|    clip_fraction        | 0.334      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.932     |
|    explained_variance   | 0.443      |
|    learning_rate        | 0.0005     |
|    loss                 | -0.0106    |
|    n_updates            | 240        |
|    policy_gradient_loss | -0.0472    |
|    value_loss           | 0.231      |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 34.3       |
|    ep_rew_mean          | 32         |
| time/                   |            |
|    fps                  | 43         |
|    iterations           | 10         |
|    time_elapsed         | 176        |
|    total_timesteps      | 7680       |
| train/                  |            |
|    approx_kl            | 0.03872181 |
|    clip_fraction        | 0.407      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.896     |
|    explained_variance   | 0.502      |
|    learning_rate        | 0.0005     |
|    loss                 | -0.0172    |
|    n_updates            | 270        |
|    policy_gradient_loss | -0.0581    |
|    value_loss           | 0.184      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 34.9        |
|    ep_rew_mean          | 32.6        |
| time/                   |             |
|    fps                  | 44          |
|    iterations           | 11          |
|    time_elapsed         | 190         |
|    total_timesteps      | 8448        |
| train/                  |             |
|    approx_kl            | 0.041662607 |
|    clip_fraction        | 0.362       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.904      |
|    explained_variance   | 0.335       |
|    learning_rate        | 0.0005      |
|    loss                 | -0.0446     |
|    n_updates            | 300         |
|    policy_gradient_loss | -0.0545     |
|    value_loss           | 0.193       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 33.8        |
|    ep_rew_mean          | 31.8        |
| time/                   |             |
|    fps                  | 44          |
|    iterations           | 12          |
|    time_elapsed         | 207         |
|    total_timesteps      | 9216        |
| train/                  |             |
|    approx_kl            | 0.032945562 |
|    clip_fraction        | 0.374       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.886      |
|    explained_variance   | 0.434       |
|    learning_rate        | 0.0005      |
|    loss                 | -0.0117     |
|    n_updates            | 330         |
|    policy_gradient_loss | -0.0519     |
|    value_loss           | 0.18        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 33.8        |
|    ep_rew_mean          | 31.9        |
| time/                   |             |
|    fps                  | 44          |
|    iterations           | 13          |
|    time_elapsed         | 223         |
|    total_timesteps      | 9984        |
| train/                  |             |
|    approx_kl            | 0.038638037 |
|    clip_fraction        | 0.371       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.832      |
|    explained_variance   | 0.549       |
|    learning_rate        | 0.0005      |
|    loss                 | -0.0287     |
|    n_updates            | 360         |
|    policy_gradient_loss | -0.0495     |
|    value_loss           | 0.175       |
-----------------------------------------
--------------------------------------
| rollout/                |          |
|    ep_len_mean          | 35.4     |
|    ep_rew_mean          | 33.3     |
| time/                   |          |
|    fps                  | 45       |
|    iterations           | 14       |
|    time_elapsed         | 238      |
|    total_timesteps      | 10752    |
| train/                  |          |
|    approx_kl            | 0.0452   |
|    clip_fraction        | 0.419    |
|    clip_range           | 0.2      |
|    entropy_loss         | -0.818   |
|    explained_variance   | 0.439    |
|    learning_rate        | 0.0005   |
|    loss                 | -0.0394  |
|    n_updates            | 390      |
|    policy_gradient_loss | -0.0604  |
|    value_loss           | 0.144    |
--------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 36.3      |
|    ep_rew_mean          | 33.9      |
| time/                   |           |
|    fps                  | 45        |
|    iterations           | 15        |
|    time_elapsed         | 252       |
|    total_timesteps      | 11520     |
| train/                  |           |
|    approx_kl            | 0.0492506 |
|    clip_fraction        | 0.388     |
|    clip_range           | 0.2       |
|    entropy_loss         | -0.783    |
|    explained_variance   | 0.357     |
|    learning_rate        | 0.0005    |
|    loss                 | -0.0413   |
|    n_updates            | 420       |
|    policy_gradient_loss | -0.062    |
|    value_loss           | 0.132     |
---------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 36.5        |
|    ep_rew_mean          | 34          |
| time/                   |             |
|    fps                  | 46          |
|    iterations           | 16          |
|    time_elapsed         | 264         |
|    total_timesteps      | 12288       |
| train/                  |             |
|    approx_kl            | 0.043006495 |
|    clip_fraction        | 0.375       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.778      |
|    explained_variance   | 0.428       |
|    learning_rate        | 0.0005      |
|    loss                 | -0.0568     |
|    n_updates            | 450         |
|    policy_gradient_loss | -0.0587     |
|    value_loss           | 0.149       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 36.3       |
|    ep_rew_mean          | 33.8       |
| time/                   |            |
|    fps                  | 47         |
|    iterations           | 17         |
|    time_elapsed         | 276        |
|    total_timesteps      | 13056      |
| train/                  |            |
|    approx_kl            | 0.04445802 |
|    clip_fraction        | 0.416      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.808     |
|    explained_variance   | 0.454      |
|    learning_rate        | 0.0005     |
|    loss                 | -0.0474    |
|    n_updates            | 480        |
|    policy_gradient_loss | -0.0625    |
|    value_loss           | 0.119      |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 38.2       |
|    ep_rew_mean          | 35.2       |
| time/                   |            |
|    fps                  | 47         |
|    iterations           | 18         |
|    time_elapsed         | 292        |
|    total_timesteps      | 13824      |
| train/                  |            |
|    approx_kl            | 0.04447301 |
|    clip_fraction        | 0.387      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.815     |
|    explained_variance   | 0.442      |
|    learning_rate        | 0.0005     |
|    loss                 | 0.00372    |
|    n_updates            | 510        |
|    policy_gradient_loss | -0.0602    |
|    value_loss           | 0.167      |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 37.9       |
|    ep_rew_mean          | 34.8       |
| time/                   |            |
|    fps                  | 47         |
|    iterations           | 19         |
|    time_elapsed         | 307        |
|    total_timesteps      | 14592      |
| train/                  |            |
|    approx_kl            | 0.04805759 |
|    clip_fraction        | 0.433      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.808     |
|    explained_variance   | 0.34       |
|    learning_rate        | 0.0005     |
|    loss                 | 0.0229     |
|    n_updates            | 540        |
|    policy_gradient_loss | -0.0719    |
|    value_loss           | 0.126      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 37.2        |
|    ep_rew_mean          | 34.3        |
| time/                   |             |
|    fps                  | 47          |
|    iterations           | 20          |
|    time_elapsed         | 320         |
|    total_timesteps      | 15360       |
| train/                  |             |
|    approx_kl            | 0.052684814 |
|    clip_fraction        | 0.448       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.808      |
|    explained_variance   | 0.393       |
|    learning_rate        | 0.0005      |
|    loss                 | -0.0391     |
|    n_updates            | 570         |
|    policy_gradient_loss | -0.0753     |
|    value_loss           | 0.135       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 37.3       |
|    ep_rew_mean          | 34.4       |
| time/                   |            |
|    fps                  | 48         |
|    iterations           | 21         |
|    time_elapsed         | 333        |
|    total_timesteps      | 16128      |
| train/                  |            |
|    approx_kl            | 0.05482435 |
|    clip_fraction        | 0.441      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.814     |
|    explained_variance   | 0.461      |
|    learning_rate        | 0.0005     |
|    loss                 | -0.0453    |
|    n_updates            | 600        |
|    policy_gradient_loss | -0.0695    |
|    value_loss           | 0.131      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 38.1        |
|    ep_rew_mean          | 35          |
| time/                   |             |
|    fps                  | 48          |
|    iterations           | 22          |
|    time_elapsed         | 346         |
|    total_timesteps      | 16896       |
| train/                  |             |
|    approx_kl            | 0.060784668 |
|    clip_fraction        | 0.446       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.843      |
|    explained_variance   | 0.27        |
|    learning_rate        | 0.0005      |
|    loss                 | -0.0651     |
|    n_updates            | 630         |
|    policy_gradient_loss | -0.0704     |
|    value_loss           | 0.125       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 36.2        |
|    ep_rew_mean          | 33.7        |
| time/                   |             |
|    fps                  | 49          |
