---------------------------------
| rollout/           |          |
|    ep_len_mean     | 8.77     |
|    ep_rew_mean     | 2.92     |
| time/              |          |
|    fps             | 32       |
|    iterations      | 1        |
|    time_elapsed    | 23       |
|    total_timesteps | 768      |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.54        |
|    ep_rew_mean          | 2.91        |
| time/                   |             |
|    fps                  | 31          |
|    iterations           | 2           |
|    time_elapsed         | 48          |
|    total_timesteps      | 1536        |
| train/                  |             |
|    approx_kl            | 0.020011356 |
|    clip_fraction        | 0.312       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.59       |
|    explained_variance   | -0.00997    |
|    learning_rate        | 0.0005      |
|    loss                 | 0.657       |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0405     |
|    value_loss           | 1.47        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8           |
|    ep_rew_mean          | 3           |
| time/                   |             |
|    fps                  | 32          |
|    iterations           | 3           |
|    time_elapsed         | 70          |
|    total_timesteps      | 2304        |
| train/                  |             |
|    approx_kl            | 0.024334444 |
|    clip_fraction        | 0.31        |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.55       |
|    explained_variance   | 0.0485      |
|    learning_rate        | 0.0005      |
|    loss                 | 0.491       |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.0349     |
|    value_loss           | 1.16        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 8.06       |
|    ep_rew_mean          | 3.15       |
| time/                   |            |
|    fps                  | 33         |
|    iterations           | 4          |
|    time_elapsed         | 92         |
|    total_timesteps      | 3072       |
| train/                  |            |
|    approx_kl            | 0.02182308 |
|    clip_fraction        | 0.322      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.52      |
|    explained_variance   | 0.0672     |
|    learning_rate        | 0.0005     |
|    loss                 | 0.648      |
|    n_updates            | 60         |
|    policy_gradient_loss | -0.0352    |
|    value_loss           | 1.3        |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 8.36       |
|    ep_rew_mean          | 3.47       |
| time/                   |            |
|    fps                  | 33         |
|    iterations           | 5          |
|    time_elapsed         | 113        |
|    total_timesteps      | 3840       |
| train/                  |            |
|    approx_kl            | 0.03080275 |
|    clip_fraction        | 0.338      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.46      |
|    explained_variance   | 0.113      |
|    learning_rate        | 0.0005     |
|    loss                 | 0.917      |
|    n_updates            | 80         |
|    policy_gradient_loss | -0.0347    |
|    value_loss           | 1.37       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 8.16       |
|    ep_rew_mean          | 3.47       |
| time/                   |            |
|    fps                  | 34         |
|    iterations           | 6          |
|    time_elapsed         | 134        |
|    total_timesteps      | 4608       |
| train/                  |            |
|    approx_kl            | 0.02413886 |
|    clip_fraction        | 0.297      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.43      |
|    explained_variance   | 0.141      |
|    learning_rate        | 0.0005     |
|    loss                 | 0.8        |
|    n_updates            | 100        |
|    policy_gradient_loss | -0.0281    |
|    value_loss           | 1.37       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.7         |
|    ep_rew_mean          | 4.06        |
| time/                   |             |
|    fps                  | 34          |
|    iterations           | 7           |
|    time_elapsed         | 154         |
|    total_timesteps      | 5376        |
| train/                  |             |
|    approx_kl            | 0.018129097 |
|    clip_fraction        | 0.274       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.38       |
|    explained_variance   | 0.204       |
|    learning_rate        | 0.0005      |
|    loss                 | 0.678       |
|    n_updates            | 120         |
|    policy_gradient_loss | -0.0325     |
|    value_loss           | 1.52        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.33        |
|    ep_rew_mean          | 3.78        |
| time/                   |             |
|    fps                  | 35          |
|    iterations           | 8           |
|    time_elapsed         | 174         |
|    total_timesteps      | 6144        |
| train/                  |             |
|    approx_kl            | 0.023204355 |
|    clip_fraction        | 0.297       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.32       |
|    explained_variance   | 0.17        |
|    learning_rate        | 0.0005      |
|    loss                 | 0.733       |
|    n_updates            | 140         |
|    policy_gradient_loss | -0.0342     |
|    value_loss           | 1.32        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7.27        |
|    ep_rew_mean          | 3.64        |
| time/                   |             |
|    fps                  | 35          |
|    iterations           | 9           |
|    time_elapsed         | 194         |
|    total_timesteps      | 6912        |
| train/                  |             |
|    approx_kl            | 0.025599698 |
|    clip_fraction        | 0.319       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.27       |
|    explained_variance   | 0.196       |
|    learning_rate        | 0.0005      |
|    loss                 | 0.654       |
|    n_updates            | 160         |
|    policy_gradient_loss | -0.0403     |
|    value_loss           | 1.42        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7.06        |
|    ep_rew_mean          | 3.14        |
| time/                   |             |
|    fps                  | 35          |
|    iterations           | 10          |
|    time_elapsed         | 214         |
|    total_timesteps      | 7680        |
| train/                  |             |
|    approx_kl            | 0.024353081 |
|    clip_fraction        | 0.262       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.22       |
|    explained_variance   | 0.239       |
|    learning_rate        | 0.0005      |
|    loss                 | 0.614       |
|    n_updates            | 180         |
|    policy_gradient_loss | -0.0262     |
|    value_loss           | 1.53        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.04        |
